Question_darija_processesd,Answer_darija_processesd,Category
أنا كنهضر بزاف وكنتخيل شي واحد عندو وجه صغير.,ماشي طبيعي هادشي لي كاين. إلى ماكانش عندو شي أعراض أخرى، ماغاديش يكون مشكل.,Neurology
عافاك دكتور، عافاك احكيلي شنو عندي. عندي صداع قاتل ف راسي، و ضهري كيوجعني بزاف، و كاين واحد الدوخة خفيفة، و حتى الماكلة ما بغاتش تاكلني.,غاليبان أعراض ل كورونا,Neurology
سلام. ملي كانحس بالوجع فالقلب بحال إلا كاين شي حر قاتل فداخلي، ويدي ليصاحبي كايدرني وراسي كايديرني.,من الأحسن تشوف شي طبيب ديال القلب بخصوص هاد المشكل,Neurology
واش كاين شي عملية جراحية باش تنسى مرض التصلب اللويحي وواش كاين شي عملية جراحية باش تنسى مرض السكري فلبنان,مازال ماخدّامش العملية الجراحية باش يحيد ليه التصلب اللوحي,Neurology
واش ممكن تعطيني شي نصيحة على كيفاش نستعمل فيتامين ب؟ راه كايتباع تحت اللسان، ولكن كاياخد وقت طويل باش يتذوب. واش هاد الشي كيأثر على الفعالية ديالو؟,إمكان إعاون,Neurology
واش يقدر الرضيع اللي عندو مشكل فالمخ ديالو يتمشّا من بعد؟,إلا كان السبب مكتسب، يمكن، وإلا كان وراثي ولا جيني، راه صعيب,Neurology
واش الدراري اللي مصابين بالصرع تيتمتعو بتفوقهم فالرياضيات ولا فشي رياضة معينة؟,ماشي بالضرورة، إلا كان الدراري موهوب، راه ماكيعنيش بلي راه صرع,Neurology
السلام عليكم. الله يرحم. هاد الأب ما قدرش ينعس ليلة كاملة. يوماين وهوما ناعسين. الله يهديه.,كانقتارح تشوف شي طبيب نفسي,Neurology
مرحبا. عندي صداع نصفي، و قرني، و ضعافات عصبية، و هادشي كيخلي رجلي يتقلقو. شنو هو أحسن علاج لهاد الحالة؟,الاسترخاء مزيان,Neurology
مرحبا، واش ممكن تعطيني سبب زيادة فالشحنات ديال الدماغ وشنو معنى هاد التقرير؟ شكرا.,التقرير كيبين زيادة فعدد الناس لي عندهم مشاكل فالدماغ، وخاصنا نعرفو السبب باش نعالجو هاد المشكل.,Neurology
شنو اللي كيضرني راصي من الجيهة ليمرا لور معا العلم أناني عاسابي,الخطوة الأولى هي تحديد الفترة اللي كاين فيها الصداع، من بعد كاينة الفحص السريري، وفحوصات أخرى بحال الأشعة ديال الراس باش نعرفو السبب. من بعد هادشي كايكون القرار.,Neurology
واش ممكن تعالج شي دري عندو ضمور جزئي فالدماغ بواحد الدوا ديال الدراري الصغار؟ واخا هوما كيمشيو ولكن ماكيهضروش مزيان.,كاينين بزاف د لعيالات لي كايعالجوهم الطبيب و لعيالات لي كايعالجوهم لعلاج الفيزيائي,Neurology
بغيت نسول الطبيب على النتيجة ديال الأشعة السينية ديال الراين للمغناطيسية ديال الدماغ. واش يمكن ليه يصيفط التقرير ولا شنو هو الطريقة باش ناخدو؟,صيفط التقرير ديال الحالة ديال المرضى.,Neurology
بنت عندها مرض خطير كيجيها النوبات، كتنزل ليها لعاب من فمها وكتولي شافتها زرقا وكتعيا بزاف. شنو خاصني ندير؟,عافاك زور شي طبيب ديال راس و لعقل,Neurology
عندو وجع فليد يمينو ورجلو يمينو، وطبيب ديالو قال ليه يديرو إشارة باش يعرفو شنو فيها. واش ممكن تعرف شنو هي الإشارة؟,الضوء كايخلي الواحد يطيح من بلاصتو,Neurology
شنو اللي كيبين اكتر بلي شي حاجا فيها تيار كهربائي، راه الريح ولا رسم المخطط المغناطيسي,تخطيط الدماغ كايبين شحال من تيار كاين ف الدماغ ماشي الرنين المغناطيسي,Neurology
أنا عندي مرض العصب الخامس، كاناخد الرييكا و الريفوتريل، و مرّا مرّا كانحس بالوجع فتراماضول.,العلاج اللي كيتستعمل بزاف هو استعمال النيفومايا ولا شي تدخل جراحي باش يتبنى حاجز بين العصب و الما غريبي,Neurology
كاين صداع ف راسي هادي ربعة ديال لييام و كانحرك راسي بزاف و لبارح شفت بلي وجهي ليمن فيه لحب لخضر,مرحبا...واش كاين شي توتر؟,Neurology
واش كاين شي تفاعل بين مسكن الألم سيفوزيم و ديبكن 500 ملغ؟,ما عندو حتى تأثير على مرض الصرع و يمكن يتستعمل مع دوا ديابكين ديال 500 ملجم,Neurology
كيفاش كاتوقف دوا ديال الصرع (ديباكين 300 مڭ)؟,الاستمرار فالعلاج كيتوقف بعد التأكد من أن ماكاينش تشنجات وخاص يكون تخطيط المخ الجديد طبيعي.,Neurology
أنا مريض بشحنة فالدماغ هادي 5 سنين، والتشحنة مازال كاينة. واش كاين شي عملية باش يتحيدو هاد الشحنات ولا كاين شي خطر على حياتي؟,كايقتارح بزاف علا توجيد ديال الدوا,Neurology
أنا درت تيست ديال اختبار العضلات ديال اليدين و شفت واش الاختناق قليل ولا قوي مع التخطيط.,الاختناق راه ساهل، وخاصك تدير الحقن ديال الكورتيزون فين ما كان، وبلا ماتسرعوش باش تدير العملية ديال إخراج العصب,Neurology
شنو هوما الأعراض ديال الشلل؟,هادشي كايعني بلي الشخص كايتحرك من طرف لطرف، كايتحرك لجهة أخرى، وكايتدهور فالحركة ديالو.,Neurology
واش كاتحس بالوجع قاصح فجنبيا داليمين بين وذنيا و رقبتك؟ ماعرفتش شنو سبب هاد الوجع؟,"لماعلومات ماكافياش, خاصك تزور الطبيب ديالك باش تكمل لمعلومات السيريرية أُ لشفايعة.",Neurology
شنو هو لعلاج ديال هاد الصداع لي فيا من يميني هادي ستيامات وانا كانحس بيه ف عينيا و النيف ديالي,التخديم هو الأكسجين و الباندول,Neurology
واش كاين شي علاج للمرض ديال الخلايا اللمفاوية فالمخ؟,دابا ماكاينش، ولكن كاين الأمل فالعلاج بالجينات بالهندسة الوراثية والعلاج بالخلايا الجذعية، وهاد الشي مازال كايتطور,Neurology
اللغة المغربية عندها قوة كبيرة. ملي كنهتم بزاف، الرجلين كيتقلقو، وحيانا ملي كنهضر، كنقلب الحروف فالكلام ديالي وكننسى الحوايج.,خاصني نلقى شي طبيب نفسي,Neurology
"كانحسّ بشي صعقة خايبة ف الجيهة لليسار ديال رقبتي, و طلعات ليا راسّي, و تزادت عليا لبلاصتها شي وجع خفيف",غالبا كاينة شي حاجة ف الرقبة خاصها تصلح، راه كاينة شي فقرات عينيها محتاجين لشي عمل د الراديو,Neurology
عافاك اعطيني شي دوا مزيان للذاكرة، عندي 23 عام و كانقرا فالجامعة. شكرا بزاف.,كانقتارح عليك تاخد قرص ديال سولبيوتامين فورت 400 ملجم بعد الفطور كل نهار.,Neurology
كايضرني راصي بزاف و ماعنديش الصداع ولكن هادشي كايخالي الواحد يحس براسو محرج و معزول,كايقتارح يدير راديو الأشعة السينية للراس باش يعاوننا نعرفو الحالة ديالك و يوصي بالدوا,Neurology
واش كاين شي دوا ديال الصداعا لي ماكاينش؟,للصيد، السباع كيتسبب فبزاف دالمشاكل بحال الصداع، ارتفاع ضغط الدم، وبعض العدوى والمتلازمات، لهذا خاصك تمشي للطبيب ديال الصيد باش يدير ليك الفحوصات اللازمة.,Neurology
الما سخون بزاف، كيعاوني الراس وكيخليني نحس بالغثيان. الضو ديال الشارع كايلون عيني.,خاصك تشوف شي طبيب نفسي باش يدير ليك شي فحوصات اخرى.,Neurology
أنا عندي 17 عام وديما كايدير حركات غريبة فوجهو، شي مرات بالوجه وشي مرات بالعين والفم، وكيخرج أصوات مزعجة بالفم، وكيقدر يكون شوية معاق.,ممكن يكون مصاب بمرض التوتر المتعدد الصفات,Neurology
كنحس بالدوخة هادي شهراين، وكنتلعثم فالهضرة هادي جوج سيمانات الأخيرة، وكنحس بالاختناق فهاد سيمانة اللخرا.,أحسن حاجة هي تراجع العادة ديال العصبية وتدير راس راسك,Neurology
واش مريضة بالصرع لي عندها تقريبا 15 عام تقدر تنتج الدراري واخا راها كاتاخد الديباكين؟,ممكن الإصابة بمرض الصرع مايأثرش على الخصوبة ديالها وكذلك العلاج,Neurology
أوّل مرّا سمح ليهم يديرو تخطيط و طلعو موجات ديال 9-11 بعد ست شهور ديال العلاج طلعو 6-12,كايقتارح يتعالجو شي جوج سنين متابعا معا لموفتاوا,Neurology
السلام عليكم، دكتور. شنو سبب هاد اللون الأحمر فالعروق لي كاينين فوق الركبة ديال اليسار؟,أي معضلات طبية خاصنا نستثنيوها قبل ما نعتابرو بلي لأزمة ديالها ناتجة على شي حالة نفسية,Neurology
خاصني ندير شوفا مع طبيب نفسي ديال لعقل,تقدر تكتب السؤال ديالك ولا الرأي ديالك بخصوص مرض الصرع وغادي نحاول نجاوبو عليك إن شاء الله فهاد الموقع ديال الطب,Neurology
كايضرني النشوة ديال اليدين و الجسد,كاين شي ناس كايتورجو بزاف و هادشي علاش فسلجي ماشي مرض,Neurology
شنو هوما المضاعفات لي كايوقعو للناس لي عندهم مرض الصرع الجزئي من بعد ما كياخدو بزاف ديال المنشطات؟,كاين بزاف دالخطورات ديال المنشطات، وخصوصا لي عندهم مرض الصرع، داكشي علاش خاصنا ماناخدوهمش,Neurology
الواحد كيحس براسو فجائي، يديه و رجليه كيتقلبو، و كيحس براسو ناعس بزاف,هاد لمعاتيب كايحتاجو تقييم طبي نفسي,Neurology
واش صحيح بلي السبب ديال هاد الصداع هو نقص فالتيمين فالأرّاس؟,الفيتامين ما عندو علاقة بالصرع. خاصك تشاور شي طبيب نفسي باش تشوف حالتك.,Neurology
واش كان عندك السيمانا شي حرقا خفيفا، وجع فالصبع؟,مهم بزاف تبع طبيب نفسي باش نعرفو السبب الرئيسي ونتأكدو من الحالة ديالك مزيان. هادشي يمكن يتدار من خلال الفحص ولا شنو ما كان.,Neurology
واش كاين شي واحد عندو شي تجربة فالعلاج بالجاما فهاد الحالة؟,راه مزيان بزاف ف بلاصة مجهز مزيان,Neurology
كايضرني راصي بزاف ملي كانقلق. شنو خاصني ندير؟,"نتا كتعاني من الصداع التوتري لي كايزيد فالحالات العقلية
بصفة عامة خاصك تدير فحص عصبي باش تتحكم فهاد الصداع",Neurology
السلام عليكم. عندي 16 عام. المشكل ديالي هو ملي كنلعب شي لعبة فين كنجلس وكنوقف، كايبان ليا جسمي كايترعد. واش هادشي كايعني بلي عندي ضعف فالعصابات؟,غاليبان ضعف لعضام,Neurology
خدران كبير فمنطقة اليد اليمنى، كاينة النيف، الشفة، والوجه. هاد الخدران كايبان هادي ربع أيام.,خاصنا نديرو رنين مغناطيسي باش نعرفو واش كاين شي تصلب لويحي,Neurology
تقرير رانين لمغناطيسي,لورّيب مابقاش كامل، كانصحك ترفع التصويرا ديال لورّيب ف لوار ديال لأسسيس,Neurology
واش ممكن شي واحد ياخد ديباكين مرة وحدة وحدة نص ساعة قبل من المرة الأولى؟,ماكاين التا موشكيل,Neurology
عندي حرقا ف نص دالراس، شوية من جيهت لول و لول، و الحرقا كاينة بزاف ف ليد و لعيون.,سلامات... هادشي تأثر العصب الخامس,Neurology
ملي كا نفيق فالصباح كانحس براسي عييان بزاف، صعيب ليا نتنفس، راسي كا يوجعني، و ملي كانمشي كانحس بدوخة شي دقايق، و كانحس براسي كانقز,قاسا طونسيون أُ دارت تيست,Neurology
واش التصوير الإشعاعي هو بحال التصوير الطبقي المحوري و كايبين نفس النتائج,التصوير الطبقي المحورى بالضبط أحسن وأعمق وأكثر نتيجة فالتشخيص من الأشعة السينية.,Neurology
أنا كانهيج العصب الخامس، وكنعاني من التهاب شديد فالفك العلوي على اليسار. الله يهديك.,خاصنا نعلنو على تفاصيل ديال لأمراض,Neurology
ملي كنوض من النعاس، كنحس براسي بالتييييير فجنبي ليسر وكنحس بالسخانة فالجسم كامل. مشيت عند الطبيب وگال ليا عندي شحنة كهربائية فالدماغ.,واش درتي شي خيط ل دماغ?,Neurology
فجأه بدا كيتحرك بزربة و كيهضر بزاف، حتى حرك يديه بغات تتحرك رجليه بلا ما يحركهم,خاصك تصلح ليا الطلب ديال الكلاص و الكبد و الصور ديالو كاملين,Neurology
فصورة دالمرنان للدماغ كيبان التغييرات الضمورية طفيفة بنصفي الكرنين المخيختين على شكل توسع خفيف بالشقوق بين التلافيف,واش كاين شي مشكل فالمريض ولا لا؟,Neurology
عندي ولد عندو مشكل فالدماغ من نهار تزاد، دابا عندو خمس سنين. واش كاين شي علاج لهاد الحالة؟ الله يرحم الوالدين.,الخلايا الجذعية كايتسرباو,Neurology
نقص الأوكسجين فوقت الولادة، وهادشي خلا صعيب عليا نتمشى. سميتي أبدول راحمان أومار.,الله يهديك و عافاك نصحني غير ندير تمارين رياضية,Neurology
شنو هاد الضرر لي في الرجل اليسرى ديالي؟ كاينة بزاف ديال الحمى والوجع، وخاصني نعيط لطبيب. شكرا بزاف.,عافاك ورّي الطبيب ديال راجليك باش يشوف شنو السبب ديال هاد الأعراض,Neurology
واش لعقاقير كايعاونو ف طياب لعضم,أه بإذن الله إلا كانو نقط لحجاما مزيانين,Neurology
ملي كا تاخد شي واحد حبة من فيتامين ب under tongue، كا توصل للدم مباشرة. شحال من وقت كا يبقى الفيتامين ف الدم قبل ما يتكسر؟,8 سوايع,Neurology
الوالد عندو العصب الخامس تعبان منو وخدا دوا ديال تجريتول وسبب ليه الدوخة والقي. شنو خاصو يدير يترك الدوا ولا يخفف الجرعة؟,كانقتارح تشوف شي طبيب نفسي باش يتأكد من حالتك ويقلل من الدوا,Neurology
عندي مشكل فالعين، كايتكرر بزاف. كايكون عندي صداع فالجهة اليسرى ديال راسي، و الرهاب و التعب فالعين. شكرا.,هادشي هو الناتج ديال التوتر والإرهاق,Neurology
علاش كايتسبب التثاؤب ولا التلقيح شد فالفم؟ واش هادشي خطير وشنو اللي كايسببو؟ شكرا.,هادا غير إلتهاب عضلي بسباب التوتر,Neurology
عين وحدة ماكاتسدش بحال لخرى، و الراس ثقيل بزاف و كايموت على واحد,هاد الحالة فيها التهاب فالعصب السابع وخاصها راها تتعالج شي ربع سيمانات,Neurology
واش هاد لأعراض غادي تاكل حياتي كامل؟ واش كاين شي دوا ليه؟,ماكاين لاش تخاف، كنصحك تاخد دوا ديال تجريتيد جوج مليمتر ف قرص نهار كامل، حتى تخدم العصب ديالكمبيوتر,Neurology
كانلقا صعوبة فالنطق ديال بعض الكلمات، خاصة فالألفباء. هاد الشي كايخلي العلاج صعيب شوية.,مهم تشوف شي طبيب ديال لعقل باش يشوف الحالة مزيان ويقلب علا لعداوات,Neurology
واش الإشعاع اللي كايخرج من التلفازة اللي خدامة بالكاثود يقدر يوصل للدماغ و يأثر عليه بحال كيفاش كايتأثر الدماغ بالإشعاع ديال التيليفون؟,"ماتخافش, ماكاينش دليل",Neurology
واش كاين شي علاج لمرض منجوع (ورم) لي كيتزاد من ورا القشرة ديال العين؟ راه مرض نادر بزاف.,الجراحة هي أحسن طريقة باش يتحيد الورم ولا العصب المصاب.,Neurology
أنا حامل من شهر تمنيا و صابحة بلي عندي العربي سبعا. شنو خاصني ندير؟ عطيني شي دوا ديال prednitab.,كايقتارح تدير شي رسام ديال لعصب ف لبيسي لعصب السابع لي تصاب و غادي يعطينا نتيجة باش نقيمو لحالا ديالك و نعرفو شنو هو لعلاج لي خاصك.,Neurology
هادشي لي كاين فيه مخلوع و ماقدرش يتحكم فيه,إلى كان عندك الصداع خاصك دير راديو باش تشوف واش كاين شي حاجة فالعظم,Neurology
واش ممكن يكون لواخز فالمسار ديال القولون هو السبب ديال الإصابة بالتهاب العصب السابع؟,ماكاينش شي علاقة بين إصابة العصب السابع ولا إصابة الأبرات فمسار القولون,Neurology
فيدي اليمني و ليسري كايدرني لعطش و صباعي كبار,كايقترح باش يدير تحاليل ديال السكر فالدم و يدير شي لوحة لعصبية ف لبيسي باش يشوف حالتو,Neurology
السلام عليكم. واحد البنت ختي عندها 7 سنين جاتها العصب السابع فوجهها فجأة و ما عرفناش علاش.,ممكن يكون فيروس قاتل.....إلا كانو التصاور ديال الدماغ عاديين,Neurology
حل عادي ولا فشي لزم اسويه,كيتنصح باش تاخد حقنة فيتامين ب مركب ممتد المفعول كل أسبوع مع أقراص حمض الفوليك فالصباح وليل باش تعالج هاد الأعراض.,Neurology
واش كاين شي دوا كا يوقف ولا كا ينقص من الاهتزازات لي كا يوقعو فاش كاتنعس؟,كايقتارح تدير راديو الأشعة السينية و ترسم شي واحد ف لبيسي باش يشوف ليك حالتك و يوريك شنو خاصك دير,Neurology
شد في الرجل و في الظهر و في الجانب الشمال في العظام و عندي 50 عام,من الأحسن تدير الأشعة السينية باش نعرفو علاش كاين العجز,Neurology
أنا مريض بزاف. عندي مرض فالقلب وضروري نعاود نديرو عملية. واخا دازت تلت شهور، بدا كايضرني بالتشنج العصبي. شنو هو العلاج؟ وشنو هو الطبيب لي خاصني نرجع ليه؟,مراجعة طبيب نفسي و تخطيط كهربائي ديال الدماغ,Neurology
كايضرني راسي بزاف، كايعيط ليا بلي كاينة شي حاجة فالدماغ ديالي، كايبان ليا صوت زن فالودنين، كايبان ليا كايدير شي ضربات فالقلب بزاف فالليل، وكيخليني مقلق,مرحبا. شنو درتي فالمدرسة؟ كان عندك التهاب الأذن؟,Neurology
عندي ريحة العرق هادي خمس سنين,كاين بزاف د الأسباب ديال فقدان الشم، خاص يتدارو فحوصات باش نعرفو السبب، وما يمكنش نوصف غير العلاج.,Neurology
شحال ديال الوقت خاص باش دير الأشعة السينية من بعد العملية ديال إزالة الورم اللي كان فالقاع ديال الجمجمة,إمكان ليك تدير هادشي غير إيلا كان الطبيب محتاج الأشعة.,Neurology
"كايضرني راجلي فصبابطي ويدي ملي كاندير شي مجهود, حتى نزل ولا طلع فالدروج",خاصك دير تخطيط لليدين، الرجلين، وurch验 ديال الغدة الدرقية، و B12.,Neurology
ختي عندها مشكل فالعصبية ديالها، هادي تلت سنين. واش كاين شي علاج؟,من بعد هاد السنين كاملة بلا ما يتشاف، باقي غير العملية.,Neurology
العرق ديال الراس,أعراض الخرف كيبداو بشوية بشي واحد نسا، صعوبة التركيز، و الاهتمام بالنفس، مع أعراض الاكتئاب اللي كاينة شي مرات، و فالحالات المتقدمة كايكون صعوبة فالحركة، والتحكم فالبول والبراز.,Neurology
سلام. ملي كايتعصبني ولا كايبكي ولا كايتقلق ولا كايتعصب، كايبان ليا واحد الم ف راسي و لور راسي و ليديا كايبان ليا واحد الم ف رجليا. شنو السبب؟,كايضرني راصي,Neurology
عندي خويا عندو صداع هادي عامين، كيفاش كنا كنعاملوه وما بقاش كيهضر معانا ولا كيردش على التحيات,تجاوب معاه بطريقة طبيعية، ولكن خاصو يرد عليك بنفس الطريقة لي رديتي بيها عليه,Neurology
كانحسّ براسّي كاندور ملي كانحط راسي على راسّي,كنصحك بقياس ضغط الدم ديالك و دير ليه راسم ديال المخ بالكمبيوتر و عرض النتائج للطبيب ديال المخ والعصب باش يعطيك العلاج و يتبع معاك.,Neurology
واش كاينة شي علاقة بين الاكياس العنكبوتية لي كاينين فالفص القفوى و النوبات ديال الصرع؟,واخا تقدر تسبب فبزاف ديال لبلايص لي كايتساراو فيهم النوبات الصعيبة,Neurology
عندي مرض التصلب المتعدد وباغي نسول واش هاد الأعراض لي عندي: تقلصات فالصدر وراسنا من فوق وواش هادو من أعراض مرض التصلب المتعدد؟,"أه, الشلل عضلي هو واهد من لعراض",Neurology
استعملت ديبكين قوه 500 حبة فالصباح و500 فالليل، ولكن ماكانش عندي العلاج، دابا استعملت غير 200 حبة فالصباح و200 فالليل,ماكاين التا مشكل ف الجرعة,Neurology
واش ممكن تدير ليزر باش تحيد الشعر من مناطق بعيدة على الانبوب، بلا ما يكون خطير على العمليه؟,"طابعان, ماكاينش خطورة",Neurology
واش كتقصد الدماغ لي فيه زيادة فالكيسان، وكتوقع ليه شي حركات غريبة فجهة وحدة؟,التهاب السحايا هو علاج الصرع والاستجابة مزيانا كاينين بزاف د الصبّاط,Neurology
هاد العملية صعيبة بزاف، و إلا ما نجحاتش شنو غادي يوقع؟,كايقتارح يدير هادشي باش يحبس الضغط على جذور الأعصاب والمراكز الحيوية ديال النخاع الشوكى,Neurology
عندي التهاب عصبي فالعصب السابع هادي تلت سنين. كان حسيت بشوية تحسن، ولكن مازال كاين شي حاجة فوجهي. واش كاين شي أمل باش يتشاف؟,إمكان يتخدّم التجميل,Neurology
من 2011 عندي مرض الصرع و كانعالج بيه، حتى ل 29/12/2015 رجعت النوبة ديالي، و مازال كانشوف الطبيب,خاصك تدرس مع طبيب العظام مزيان حيت كاينين بزاف دالحلول الجراحية لي تقدر تعاونك,Neurology
شنو هو لعلاج ديال نوبل أُ لخاتير لي فياها لعضم?,إلا كان الهدف هو تقوية العضلات، يمكن ليك تستافد من السباحة والتمارين الخفيفة العلاجية تحت إشراف طبيب علاج طبيعي.,Neurology
أنا راجل عندو ألم قاتل فالعضلة ديال الفخذ، ماكانقدرش نعس، وخاصني نرتاح بزاف.,كانقتارح عليك تشوف شي طبيب ديال العظام باش يدير ليك شي فحص ويجاوبك,Neurology
دير ليا شي عملية جراحية (خدع قطني) شنو هي النتائج ديالها السلبية والإيجابية,شنو بغيتي بهاد جوج نتائج إيجابية وسلبية؟ راه حسب سبب لاش درتي هاد لبلان,Neurology
شكون فيهوم أحسن واحد باش يقوي لعصاب، الفاليبوك ولا لفابيون ولا نيوروفيت؟,اللي حسن من هادشي هو الفايروبيك اسيد 600 ملجم مركب (ثايوتاسيد 600 مركب) قرص كل 12 ساعة مع إيبيانيسين_ب حقنة عضلية كل 3 أيام لمدة 3 شهور,Neurology
هادشي لي وقع ليا، خديت شي دوا ديال القلق بسرعة وكنت كنشرب دوا ديال النعاس بزربة، وداكشي لي وقع ليا هو أنني بديت كنحس بالدوار والدوخة، ومن بعد شوية بديت كنحس بالذاكرة ديالي كتنقصني نهار بنهار,هادشي ماكايسببش هاد لعابرا,Neurology
واش كايلعب اللوبول هرموني دور ف مرض متلازمة النمط اللوحي (MS),ماكاين حتى مشكل فاستعمالو حتى عند الناس اللي عندهم مرض التصلب المزمن، إلا كان الشخص كياخد شي دوا ديال الجهاز المناعي.,Neurology
واش لعاب ديال ل پيسيس عندها أتار خايبا علا الدماغ و خصوصا لمستقبلات ديال دوپامين,طابعان كايدير هادشي خايب للصحة ديال الدماغ حيت كايزيد اللعب ديال هاد اللوعاب,Neurology
علاش كاتنعس بزاف و كاتعاني من الصداع,كاين بزاف دالأسباب، ولكن المرضى اللي كيعانيو من الصداع والنعاس بزاف بعد الفحوصات باش يعرفو الأمراض اللي كتسبب هاد الأعراض,Neurology
واش كاين شي فرا grøفا وسط الجماجم ديال بنادم بشكل مستقيم?,أحسن حاجة هي تتبع طبيب الأعصاب، حيت بلا ما يتشاور الطبيب ما غاديش تكون الصورة كاملة، وخاصة إيلا كانو عندو شي أعراض.,Neurology
واش كاين شي حاجة مزيانة ف السيريالين، والسولوبيوتامين، وزيت السمك اللي مزيان للذاكرة؟ عافاك وريني كيفاش نستعملها.,ماكاين حتى ضرر فإلا خديتي غير جوج كبسولات بعد الفطور فالنهار,Neurology
عندي شي حاجة ما عجباتنيش فهاد الإيدي ديالي. بداو كايدروني بزاف هاد الأيامات، وحتى رجلي كتترعش.,مرحبا، كون غير كنتي صغير... بديتي تاخد فيتامينات، خاصة فيتامين ب.,Neurology
كايضرني راسي و حدايا من لور أُ لور ديال ضهري تقريبا كل نهار... شنو السبب و واش خطير؟,كانقتارح تدير شي بيسي ف كايبورد ديالك باش تعاود لينا الناتيجا,Neurology
عندي رعشة فاليد ديالي وخاصني نخدم باش نلقى شي خدمة ونتقاعد، وخاصني نبقى فالدار حتى نكتب ليك، عافاك رد عليا,خاصك دير فحص للبروستات,Neurology
واش طبيب يقدر يدير شي حاجا فاش كايدير شي واحد نوبة ديال الصرع ب إعطا ليه الديباكين فمو,واخا والاكين حسن تعطي عقارات أخرين اللي تيقدر يوقف النوبة بسرعة بحال مشتقات البنزوديازيبين,Neurology
واش كاين شي واحد يقدر يوريني هاد الصبابط ديال الصبّاط لي تلبس فيد وحدة باش تخدم الشحنات؟ عافاك قول ليا واش هادشي مزيان و واش خدام,ماعندهاش شي علاقة علمية. التحسن يقدر يكون غير من خلال الاستعمال النفسي.,Neurology
أهلا. واش ممكن نسولك على مرض التصلب اللويحي و شنو هو العلاج ديالو؟,الله يرحم. سول الناس لي خدامين ف قسم ديال أمراض الأعصاب، ماشي جراحة الأعصاب.,Neurology
فييا لحريق ديال لعافيا ف جيهوم كاملين و سخانا تحت ركابي,كايقتارح تدير شي رساميا ديال لعضم ف لور ديال لقطة و صيفتها لينا باش نعرفو شحال ناقصك و نوصيوك بشي دوا,Neurology
كانعاني من الصداع النصفي، وحيانا كانحس بالانفاص، وحتى الشهية ديالي كاتنقص,ممكن يكون السبب التهاب فالجيوب، وخاصنا نديرو راديو د الراين ولا راديو طبقي للدماغ.,Neurology
يدي وراسي و قدمي كايتخادو ديما، عمري 19,خاصك تشوف راسك وراسك وتشوف واش كولشي مزيان، وخاصك دير جلسة ديال الماساج باش تبرا,Neurology
واش ماماها دارت شي كسيدا و كتضرها راسها بزاف و كاينة شي وجع فودنها؟,خاصني ندير راديو الأشعة السينية باش نتأكد,Neurology
واش مريض الصرع خاصو يتعالج بالقرعة ديال كيبرا؟,التدخين ضار بصحتنا بشكل عام و يقدر يأثر على طبيعة المرض و الأدوية اللي كناخدو.,Neurology
واش الحبوب مزيانة باش تهرس راس واحد,في علاجات أخرى أكثر فعالية، كيتعطى غير بعد ما يتقيم الحالة من طرف طبيب مختص فالمرض العصبي,Neurology
مرحبا، إلا بديتي كتحرك رقبتك سمعتي صوت عروق رقبتك، واش هادشي عادي ولا كاين شي ضرر فالمستقبل؟,مزيان تدير ليا هادشي و كانقتارح عليك تقيّن عضامات لعود باش تحمي لماموثات,Neurology
سلام. عندي سؤال على تضخم الكلى و الأضرار لي ممكن توقع، وكيفاش نعالجها و فين نقدر ناخد العلاج؟,يمكن ليك تشاور مع طبيب nephrologue ف موقع الطبي,Neurology
أنا عصباني بزاف ورجلي كتحس ببرودة، و منين كنوقف رجلي كتحس بلي راسي مقعد. شنو خاصني ندير؟,كانضنّ السبب هو القلق ديالك بزاف من ممارسة الرياضة,Neurology
هاد الشي لي درتي راه خايب بزاف، راه ضعيف فالجهة اليسرى ديال الجسم. واش ممكن تشوف شي طبيب باش يعرف السبب؟,كايقتارح يدير راديو الأشعة السينية للراس باش يعاوننا نعرفو الحالة ديالك و يوصي بالدوا,Neurology
واش زيت النعناع وزيت الكافور وزيت الجرجير وزيت الحبه السوداء وزيت الخردل وزيت القرفه مزيانين فالتهاب الأعصاب؟ هاد الزيوت كيعرفها واحد الخبير ديال الأعشاب.,ماعندها حتّى شي فائدة,Neurology
النتيجة هي أن الجزء الفيلوري فوق الظهر من النخاع العظمي من جهة T2 إلى T3 عندو زيادة فالحجم. واش هاد الشي كيعني أنه خاصو يتعالجو؟,"هاد الداء كيتسمى ""ديملينغ"" ولا ""ميتيليتس"" و كيتعالجو بجوج",Neurology
واحد الولد عندو ربعطاش عام و عندو ضمور فالدماغ بدا كياخد فيتامين بي 12 و بدا كيحس بتحسن، ممكن ياخد هاد الدوا أكثر من تلات شهور,أه مومكين,Neurology
السلام عليكم. واش ممكن نقول ليا شنو هو لعلاج ديال الدماغ لي فيه الصداع و الشكادة؟ شكرا.,"ماكاينش شي مرض سميتو ""تلف دماغ"". الصرع عندو بزاف د لعلاج، ولكن نوعو، شدتو، ومدتو كيختالفو",Neurology
السلام عليكم. عندي وجع ف صبعاتو و ضهرو و صدرو. شنو يمكن يكون السبب؟,التنميل كاين فكل بلاصة، ماشي غير فشي بلاصة وحدة. غالبا كيكون بسباب التوتر.,Neurology
كايحس براسو متوتر مع صداع و عصبيتو طالعة، و هادشي علاش كايبان بلي راه مزروب من لخدما و تربية الدراري,إمكان علا قبل ل أُمور ديال لخدما إلا ماكانش طونسيون,Neurology
